model_name,unit_no,2025-03-18,2025-03-19,2025-03-20,2025-03-21,2025-03-22,2025-03-23,2025-03-24,2025-03-25,2025-03-26,2025-03-27,2025-03-28,2025-03-29,2025-03-30,2025-03-31,2025-04-01,2025-04-02,2025-04-03,2025-04-04,2025-04-05,2025-04-06,2025-04-07,2025-04-08,2025-04-09,2025-04-10,2025-04-11,2025-04-12,2025-04-13,2025-04-14,2025-04-15,2025-04-16,2025-04-17
マイジャグラーV,1081,595.0,461.0,337.1,533.6,204.4,494.0,769.5,355.8,444.6,933.0,287.2,691.8,267.8,463.8,347.7,238.7,463.8,285.9,383.5,345.7,365.8,518.3,555.5,758.0,272.9,565.3,389.8,267.2,336.2,324.5,290.0
マイジャグラーV,1082,521.6,537.8,316.7,329.9,629.0,271.3,489.5,254.7,296.6,518.0,312.4,627.8,229.9,366.6,1965.0,341.3,366.6,328.0,406.0,565.7,433.5,207.8,254.9,363.2,377.2,263.8,308.9,295.7,224.4,388.9,322.5
マイジャグラーV,1083,428.0,540.8,275.8,inf,562.8,359.3,881.0,276.8,322.7,376.8,281.9,264.5,869.5,363.3,385.0,320.3,363.3,332.9,409.7,409.4,812.7,270.9,721.7,392.8,746.0,300.8,302.7,264.2,287.6,659.0,506.7
マイジャグラーV,1084,inf,469.7,299.8,350.0,500.0,829.7,346.5,269.0,293.4,1426.0,360.0,227.5,346.3,377.5,502.7,840.2,377.5,1529.0,234.7,327.2,364.7,243.1,244.1,572.0,488.2,299.6,300.2,317.7,399.4,280.6,245.1
マイジャグラーV,1085,495.0,377.4,273.4,378.0,339.6,341.0,898.5,1273.0,304.8,342.2,383.1,400.3,299.1,476.2,962.3,454.0,476.2,405.4,374.9,1121.7,213.8,297.5,312.9,658.2,246.0,346.6,502.9,498.3,320.3,428.6,295.3
マイジャグラーV,1086,621.0,381.8,323.0,377.4,238.5,465.2,inf,296.6,671.1,397.8,593.5,302.0,1022.0,234.8,337.4,352.2,234.8,316.0,405.1,434.5,403.0,352.1,395.6,382.5,286.8,290.1,384.6,297.8,354.9,377.1,236.4
マイジャグラーV,1087,309.7,312.0,367.3,581.5,327.0,399.6,295.0,326.0,614.7,473.0,705.5,637.0,397.7,300.2,445.8,319.8,300.2,593.5,384.3,494.2,341.1,369.0,inf,294.2,524.5,437.5,319.0,459.1,320.2,820.0,419.2
マイジャグラーV,1088,337.7,262.8,566.5,431.2,335.6,389.6,377.8,415.6,524.7,269.3,363.2,650.0,439.2,238.5,494.4,559.5,238.5,269.5,429.3,1373.0,inf,346.9,350.1,inf,465.5,333.7,363.8,444.3,390.4,283.9,245.4
マイジャグラーV,1089,437.0,333.8,1429.0,324.7,371.9,408.0,948.0,356.5,205.1,284.7,762.0,298.5,1308.0,384.2,591.7,379.0,384.2,759.0,257.6,235.3,305.0,344.2,429.3,462.8,427.5,314.4,547.4,350.9,230.0,301.3,379.0
マイジャグラーV,1090,369.1,266.4,251.5,311.7,1814.0,478.8,inf,382.7,361.7,716.7,245.9,690.5,314.4,367.4,325.0,251.3,367.4,803.0,409.7,657.7,757.7,281.1,289.6,564.0,246.4,363.4,540.5,450.3,476.9,973.5,433.9
マイジャグラーV,1091,608.5,738.0,294.8,971.3,439.5,339.8,1038.0,207.4,430.2,394.8,474.5,293.5,451.0,366.4,346.2,403.8,366.4,291.6,457.3,361.6,403.6,616.0,1436.0,282.1,395.3,631.0,321.0,349.7,488.2,375.2,367.0
マイジャグラーV,1092,1445.0,276.9,530.6,407.6,407.4,517.5,247.5,231.8,354.8,535.8,310.4,305.6,810.0,912.5,270.8,609.5,912.5,301.1,306.6,323.0,286.4,350.6,408.4,348.4,304.4,269.9,337.2,450.2,570.8,525.2,282.0
マイジャグラーV,1093,595.0,1423.0,357.9,640.3,297.5,inf,202.6,310.4,385.3,266.1,390.4,343.4,554.0,311.7,296.5,609.8,311.7,322.4,599.0,302.7,315.2,300.9,434.2,451.8,543.9,289.6,2503.0,299.5,358.7,285.5,392.3
マイジャグラーV,1094,324.2,348.8,374.9,455.5,414.5,318.7,251.0,405.7,249.4,361.5,400.0,931.0,368.2,553.0,735.2,inf,553.0,482.7,330.9,371.0,583.3,925.0,293.1,392.4,272.6,343.5,406.0,496.8,227.3,675.7,251.3
マイジャグラーV,1095,inf,inf,301.7,254.1,299.2,inf,355.8,357.5,471.6,inf,409.3,359.8,254.1,368.5,627.2,311.1,368.5,680.0,394.1,544.8,424.5,305.9,inf,737.0,385.9,inf,471.7,332.5,257.2,256.4,353.5
マイジャグラーV,1096,426.6,inf,349.9,254.8,377.1,406.2,342.3,295.1,370.5,805.0,386.6,914.0,466.8,386.7,246.3,388.5,386.7,1441.0,268.1,611.0,282.6,1425.0,inf,521.3,707.8,652.8,1416.0,307.8,837.2,467.3,508.7
マイジャグラーV,1097,352.0,380.2,294.8,340.8,467.4,344.3,365.1,353.8,240.2,379.1,inf,343.9,360.2,350.4,277.1,316.2,350.4,457.6,538.0,279.9,405.4,253.6,608.0,306.2,298.0,444.3,441.6,332.0,406.4,247.6,354.2
マイジャグラーV,1098,285.1,1318.0,542.5,261.2,344.1,328.9,750.5,290.9,340.9,343.3,289.1,447.4,350.4,inf,424.2,345.9,inf,482.8,332.9,391.0,370.8,469.5,618.0,477.9,279.1,207.4,433.9,514.1,276.5,315.6,323.3
マイジャグラーV,1099,1648.0,296.9,320.0,418.7,333.6,281.4,400.7,694.0,203.9,262.3,507.8,337.1,589.2,1101.0,541.3,377.1,1101.0,509.0,381.5,600.0,456.2,313.7,276.8,366.6,247.3,327.6,556.8,377.9,303.2,387.9,636.8
