model_name,unit_no,2024-05-05,2024-05-04,2024-05-03,2024-05-02,2024-05-01,2024-04-30,2024-04-29,2024-04-28,2024-04-27,2024-04-26,2024-04-25
,,,,,,,,,,,,
ゴーゴージャグラー3,1065,7467,6811,8080,8486,4474,3839,7049,6919,6975,7269,5806
ゴーゴージャグラー3,1066,8871,2537,7691,3087,8497,6272,4156,3562,6195,7876,6175
ゴーゴージャグラー3,1067,8745,7156,5749,5609,7748,6060,7407,3962,6201,6558,8148
ゴーゴージャグラー3,1107,7379,3363,8172,7929,7572,4907,6922,6043,8544,5876,6800
ゴーゴージャグラー3,1108,7645,6701,6647,5583,7510,7822,6903,7307,5760,7160,7253
ゴーゴージャグラー3,1109,8402,7132,5664,3611,8259,7480,5789,7044,6817,6817,7102
ゴーゴージャグラー3,1110,8080,4908,7762,5800,3598,8729,3544,5769,6847,7613,4552
ゴーゴージャグラー3,1111,6113,7665,4881,6895,8024,3124,7234,3123,7096,7574,7424
ゴーゴージャグラー3,1112,7558,4867,7535,3888,8433,4810,4088,7776,7838,7880,5821
ゴーゴージャグラー3,1113,7499,6326,6379,5064,5865,7976,7066,4974,5894,7236,7973
ゴーゴージャグラー3,1115,6390,6363,6725,6164,7878,6630,5165,7452,7592,8063,6461
ゴーゴージャグラー3,1116,7586,4119,7722,5903,7067,4198,2962,7941,7150,7726,6161
ゴーゴージャグラー3,1117,6950,6655,9226,4949,7330,8576,4762,1262,7123,7634,8495
ゴーゴージャグラー3,1118,7273,5570,7518,4662,8118,8452,7817,6940,5421,7457,5484
